,0
2014-04-13,
2014-04-20,
2014-04-27,
2014-05-04,12120.0
2014-05-11,
2014-05-18,
2014-05-25,
2014-06-01,12146.0
2014-06-08,
2014-06-15,
2014-06-22,
2014-06-29,
2014-07-06,12165.0
2014-07-13,
2014-07-20,
2014-07-27,
2014-08-03,12182.0
2014-08-10,
2014-08-17,
2014-08-24,
2014-08-31,
2014-09-07,12201.0
2014-09-14,
2014-09-21,
2014-09-28,
2014-10-05,12233.0
2014-10-12,
2014-10-19,
2014-10-26,
2014-11-02,12260.0
2014-11-09,
2014-11-16,
2014-11-23,
2014-11-30,
2014-12-07,12266.0
2014-12-14,
2014-12-21,
2014-12-28,
2015-01-04,12265.0
2015-01-11,
2015-01-18,
2015-01-25,
2015-02-01,12275.0
2015-02-08,
2015-02-15,
2015-02-22,
2015-03-01,12286.0
2015-03-08,
2015-03-15,
2015-03-22,
2015-03-29,
2015-04-05,12291.0
2015-04-12,
2015-04-19,
2015-04-26,
2015-05-03,12306.0
2015-05-10,
2015-05-17,
2015-05-24,
2015-05-31,
2015-06-07,12307.0
2015-06-14,
2015-06-21,
2015-06-28,
2015-07-05,12323.0
2015-07-12,
2015-07-19,
2015-07-26,
2015-08-02,12318.0
2015-08-09,
2015-08-16,
2015-08-23,
2015-08-30,
2015-09-06,12326.0
2015-09-13,
2015-09-20,
2015-09-27,
2015-10-04,12334.0
2015-10-11,
2015-10-18,
2015-10-25,
2015-11-01,12329.0
2015-11-08,
2015-11-15,
2015-11-22,
2015-11-29,
2015-12-06,12333.0
2015-12-13,
2015-12-20,
2015-12-27,
2016-01-03,12354.0
2016-01-10,
2016-01-17,
2016-01-24,
2016-01-31,
2016-02-07,12337.0
2016-02-14,
2016-02-21,
2016-02-28,
2016-03-06,12313.0
2016-03-13,
2016-03-20,
2016-03-27,
2016-04-03,12325.0
2016-04-10,
2016-04-17,
2016-04-24,
2016-05-01,12303.0
2016-05-08,
2016-05-15,
2016-05-22,
2016-05-29,
2016-06-05,12321.0
2016-06-12,
2016-06-19,
2016-06-26,
2016-07-03,12342.0
2016-07-10,
2016-07-17,
2016-07-24,
2016-07-31,
2016-08-07,12319.0
2016-08-14,
2016-08-21,
2016-08-28,
2016-09-04,12317.0
2016-09-11,
2016-09-18,
2016-09-25,
2016-10-02,12316.0
2016-10-09,
2016-10-16,
2016-10-23,
2016-10-30,
2016-11-06,12311.0
2016-11-13,
2016-11-20,
2016-11-27,
2016-12-04,12324.0
2016-12-11,
2016-12-18,
2016-12-25,
2017-01-01,12334.0
2017-01-08,
2017-01-15,
2017-01-22,
2017-01-29,
2017-02-05,12350.0
2017-02-12,
2017-02-19,
2017-02-26,
2017-03-05,12361.0
2017-03-12,
2017-03-19,
2017-03-26,
2017-04-02,12367.0
2017-04-09,
2017-04-16,
2017-04-23,
2017-04-30,
2017-05-07,12377.0
2017-05-14,
2017-05-21,
2017-05-28,
2017-06-04,12390.0
2017-06-11,
2017-06-18,
2017-06-25,
2017-07-02,12390.0
2017-07-09,
2017-07-16,
2017-07-23,
2017-07-30,
2017-08-06,12435.0
2017-08-13,
2017-08-20,
2017-08-27,
2017-09-03,12443.0
2017-09-10,
2017-09-17,
2017-09-24,
2017-10-01,12457.0
2017-10-08,
2017-10-15,
2017-10-22,
2017-10-29,
2017-11-05,12472.0
2017-11-12,
2017-11-19,
2017-11-26,
2017-12-03,12501.0
2017-12-10,
2017-12-17,
2017-12-24,
2017-12-31,
2018-01-07,12527.0
2018-01-14,
2018-01-21,
2018-01-28,
2018-02-04,12551.0
2018-02-11,
2018-02-18,
2018-02-25,
2018-03-04,12576.0
2018-03-11,
2018-03-18,
2018-03-25,
2018-04-01,12595.0
2018-04-08,
2018-04-15,
2018-04-22,
2018-04-29,
2018-05-06,12623.0
2018-05-13,
2018-05-20,
2018-05-27,
2018-06-03,12656.0
2018-06-10,
2018-06-17,
2018-06-24,
2018-07-01,12676.0
2018-07-08,
2018-07-15,
2018-07-22,
2018-07-29,
2018-08-05,12688.0
2018-08-12,
2018-08-19,
2018-08-26,
2018-09-02,12710.0
2018-09-09,
2018-09-16,
2018-09-23,
2018-09-30,
2018-10-07,12731.0
2018-10-14,
2018-10-21,
2018-10-28,
2018-11-04,12741.0
2018-11-11,
