Date,OPEN,HIGH,LOW,CLOSE
2007-10-26,77.279,78.203,76.977,77.027
2007-11-02,76.869,77.092,76.22,76.337
2007-11-09,76.39,76.499,74.978,75.4
2007-11-16,75.517,76.153,75.38,75.827
2007-11-23,75.777,75.963,74.484,75.053
2007-11-30,75.11,76.184,74.753,76.147
2007-12-07,75.931,76.816,75.595,76.288
2007-12-14,76.295,77.485,75.921,77.436
2007-12-21,77.372,77.854,77.27,77.721
2007-12-28,77.634,77.702,76.108,76.218
2008-01-04,75.98,76.747,75.429,75.793
2008-01-11,76.048,76.516,75.786,75.978
2008-01-18,75.615,76.522,75.199,76.383
2008-01-25,76.66,77.347,75.622,75.973
2008-02-01,75.938,76.022,74.849,75.445
2008-02-08,75.44,77.043,75.282,76.67
2008-02-15,76.453,76.714,75.852,76.101
2008-02-22,76.068,76.529,75.357,75.52
2008-02-29,75.526,75.685,73.56,73.714
2008-03-07,73.746,73.947,72.462,73.027
2008-03-14,72.993,73.402,71.578,71.657
2008-03-21,71.628,72.922,70.698,72.747
2008-03-28,72.779,73.194,71.327,71.678
2008-04-04,71.605,72.841,71.346,72.021
2008-04-11,71.977,72.433,71.415,71.808
2008-04-18,72.356,72.407,71.276,72.012
2008-04-25,71.981,73.03,71.191,72.79
2008-05-02,72.728,73.698,72.439,73.5
2008-05-09,73.464,73.895,72.734,73.05
2008-05-16,73.061,73.624,72.687,72.844
2008-05-23,72.81,73.169,71.823,71.888
2008-05-30,71.985,73.217,71.842,72.879
2008-06-06,72.873,73.87,72.338,72.39
2008-06-13,72.292,74.314,72.13,74.146
2008-06-20,74.006,74.178,72.932,73.03
2008-06-27,73.071,73.652,72.274,72.36
2008-07-04,72.327,72.849,72.004,72.731
2008-07-11,72.687,73.158,71.795,72.096
2008-07-18,71.864,72.405,71.314,72.189
2008-07-25,72.187,73.02,71.738,72.86
2008-08-01,72.818,73.538,72.609,73.424
2008-08-08,73.367,75.903,73.196,75.845
2008-08-15,75.824,77.268,75.489,77.18
2008-08-22,77.139,77.413,76.022,76.805
2008-08-29,76.79,77.619,76.554,77.381
2008-09-05,77.749,79.077,77.655,78.932
2008-09-12,78.716,80.375,78.199,78.966
2008-09-19,78.423,79.369,77.26,77.68
2008-09-26,77.578,77.802,75.89,76.953
2008-10-03,76.906,80.933,76.896,80.313
2008-10-10,81.093,83.191,80.399,82.997
2008-10-17,81.579,82.84,80.752,82.413
