Date,OPEN,HIGH,LOW,CLOSE
2008-08-22,112.3,120.93,110.7,113.9
2008-08-29,113.0,118.26,111.65,115.17
2008-09-05,115.5,115.56,103.43,104.58
2008-09-12,105.74,106.9,96.33,97.0
2008-09-19,95.99,100.5,88.9,99.85
2008-09-26,99.5,107.11,99.5,103.53
2008-10-03,103.29,103.29,88.0,89.26
2008-10-10,88.3,88.65,73.14,76.03
2008-10-17,77.0,80.74,65.45,69.75
2008-10-24,70.65,73.61,61.0,62.7
2008-10-31,61.93,68.35,59.02,65.6
2008-11-07,64.3,67.76,56.44,57.5
2008-11-14,58.38,61.98,50.6,53.85
2008-11-21,53.37,56.15,47.4,49.25
2008-11-28,50.0,54.9,48.0,54.5
2008-12-05,53.0,53.0,39.35,39.74
2008-12-12,40.48,48.36,40.48,46.75
2008-12-19,46.0,49.96,43.03,44.42
2008-12-26,44.65,44.77,36.2,38.44
2009-01-02,39.78,47.33,38.1,47.04
2009-01-09,48.2,52.21,42.79,43.75
2009-01-16,44.57,49.12,41.84,46.18
2009-01-23,46.3,48.61,42.85,47.46
2009-01-30,47.46,49.65,43.55,45.93
2009-02-06,46.06,47.48,43.7,46.4
2009-02-13,46.06,48.42,43.92,45.0
2009-02-20,44.3,45.5,39.35,41.83
2009-02-27,41.66,46.63,40.3,45.84
2009-03-06,45.56,46.54,41.6,44.59
2009-03-13,45.42,46.36,41.3,44.71
2009-03-20,44.25,51.7,42.59,51.4
2009-03-27,51.3,53.86,51.1,51.6
2009-04-03,51.5,54.26,47.26,53.55
2009-04-10,53.5,54.31,49.8,54.1
2009-04-17,53.98,54.12,50.9,53.3
2009-04-24,53.06,53.06,48.31,51.59
2009-05-01,51.04,53.05,48.4,52.65
2009-05-08,52.6,58.5,52.36,58.5
2009-05-15,57.8,59.05,55.85,56.1
2009-05-22,56.17,60.94,55.91,60.63
2009-05-29,61.0,65.8,58.41,65.8
2009-06-05,65.77,69.91,64.91,68.5
2009-06-12,67.79,72.27,66.88,70.76
2009-06-19,70.93,72.4,68.56,69.3
2009-06-26,69.47,70.81,65.9,69.15
2009-07-03,68.95,73.5,65.25,65.43
2009-07-10,65.2,65.46,59.53,60.29
2009-07-17,60.66,65.93,59.49,65.33
2009-07-24,65.03,70.46,65.03,70.32
2009-07-31,70.06,72.12,66.14,71.8
2009-08-07,71.98,76.0,71.5,73.19
2009-08-14,73.23,74.72,71.68,72.5
2009-08-21,71.35,74.97,69.21,74.08
2009-08-28,74.21,74.75,70.42,72.87
2009-09-04,72.79,72.95,65.96,66.56
2009-09-11,66.69,70.88,66.38,67.5
2009-09-18,67.68,72.2,66.66,71.1
2009-09-25,71.17,71.45,64.08,65.15
2009-10-02,65.42,69.79,64.49,67.68
2009-10-09,67.45,70.56,65.9,70.25
2009-10-16,70.29,77.22,70.29,77.14
2009-10-23,77.09,80.26,76.04,78.16
2009-10-30,78.49,80.1,75.09,75.09
2009-11-06,75.24,79.45,74.98,76.05
2009-11-13,76.26,78.92,75.03,75.55
2009-11-20,76.79,80.14,76.5,77.6
2009-11-27,77.55,79.58,73.7,77.12
2009-12-04,77.46,79.91,76.4,77.74
2009-12-11,77.83,78.25,71.02,71.66
2009-12-18,71.47,74.84,71.16,73.88
2009-12-25,73.62,76.5,71.97,76.1
2010-01-01,76.3,78.94,76.2,78.0
2010-01-08,78.49,82.21,78.34,81.43
2010-01-15,81.53,82.45,76.81,77.2
2010-01-22,76.91,77.85,72.17,72.38
2010-01-29,72.46,73.8,71.02,71.18
2010-02-05,71.35,76.99,67.87,70.3
2010-02-12,70.36,74.0,69.21,72.9
2010-02-19,73.12,78.45,72.29,78.45
2010-02-26,78.44,78.94,75.29,77.65
2010-03-05,77.69,80.53,76.21,80.08
2010-03-12,80.21,81.46,78.7,79.46
2010-03-19,79.09,82.08,77.25,79.8
2010-03-26,79.61,81.17,78.0,79.36
2010-04-02,79.48,84.5,79.48,84.42
2010-04-09,84.47,86.63,83.95,84.93
2010-04-16,84.87,87.58,83.51,85.66
2010-04-23,85.74,87.33,83.25,87.21
2010-04-30,87.27,87.75,84.88,87.47
2010-05-07,87.44,89.58,77.51,78.58
2010-05-14,78.9,81.76,76.8,77.2
2010-05-21,78.05,78.47,70.2,72.11
2010-05-28,71.8,75.74,68.15,74.2
2010-06-04,74.02,76.55,71.48,71.66
2010-06-11,71.55,75.88,70.5,74.79
2010-06-18,74.51,79.1,74.44,78.42
2010-06-25,78.49,79.86,75.4,78.41
2010-07-02,78.14,78.66,71.21,71.93
2010-07-09,71.56,75.86,70.77,75.16
2010-07-16,75.19,77.79,73.67,75.35
2010-07-23,75.13,78.1,74.75,77.34
2010-07-30,77.45,78.31,74.8,78.26
2010-08-06,78.11,82.86,78.1,80.36
2010-08-13,80.49,81.38,74.67,75.25
2010-08-20,75.12,77.69,74.0,74.33
2010-08-27,74.46,76.93,71.75,76.93
2010-09-03,76.65,77.46,74.24,76.62
2010-09-10,76.62,78.85,75.56,78.15
2010-09-17,78.23,79.9,77.25,77.97
2010-09-24,78.2,80.0,76.75,78.8
2010-10-01,79.01,83.81,77.6,83.81
2010-10-08,83.81,86.02,81.86,84.19
2010-10-15,84.33,85.46,81.95,82.76
2010-10-22,83.05,84.5,80.75,82.9
2010-10-29,83.15,84.2,81.85,83.14
2010-11-05,83.13,88.8,82.82,88.47
2010-11-12,88.3,89.7,85.76,86.04
2010-11-19,86.44,87.37,82.96,84.13
2010-11-26,84.34,86.5,82.43,85.8
2010-12-03,85.5,91.85,85.41,91.68
2010-12-10,91.46,92.86,89.86,90.53
2010-12-17,90.65,92.42,90.33,91.75
2010-12-24,91.65,94.74,91.02,93.46
2010-12-31,93.76,95.2,92.18,94.59
2011-01-07,94.75,96.17,92.37,93.72
2011-01-14,93.8,99.2,93.6,98.65
2011-01-21,98.33,98.75,95.43,97.59
2011-01-28,97.59,99.74,94.75,99.33
2011-02-04,99.61,103.37,98.5,100.1
2011-02-11,99.83,102.88,97.51,101.55
2011-02-18,101.13,104.52,100.73,102.82
2011-02-25,102.96,119.79,102.93,112.43
2011-03-04,112.5,117.81,111.25,115.99
2011-03-11,116.12,118.5,112.13,113.44
2011-03-18,113.6,117.29,107.35,114.49
2011-03-25,114.75,116.4,114.15,116.02
2011-04-01,115.75,119.14,113.52,119.1
2011-04-08,119.05,126.91,118.75,126.9
2011-04-15,126.58,127.02,120.0,123.73
2011-04-22,123.15,124.81,119.03,124.04
2011-04-29,123.99,126.66,122.71,126.03
2011-05-06,126.1,126.54,105.15,109.24
2011-05-13,110.2,118.43,109.05,113.84
2011-05-20,113.56,114.0,108.07,112.42
2011-05-27,112.12,115.68,108.58,115.0
2011-06-03,114.87,117.49,113.4,116.05
2011-06-10,115.96,120.07,113.8,118.59
2011-06-17,118.46,121.47,111.05,113.2
2011-06-24,112.96,114.48,103.62,105.67
2011-07-01,105.36,113.24,102.28,111.24
2011-07-08,111.3,119.87,110.45,118.3
2011-07-15,118.27,119.86,114.95,117.66
2011-07-22,117.55,119.25,114.66,118.51
2011-07-29,118.36,119.05,115.75,116.85
2011-08-05,117.0,120.4,104.3,109.85
2011-08-12,108.5,109.16,98.74,107.8
2011-08-19,108.1,111.74,105.06,109.22
2011-08-26,108.5,111.7,105.15,111.25
2011-09-02,110.77,115.36,110.53,112.52
2011-09-09,112.5,116.6,109.85,112.53
2011-09-16,112.43,116.1,110.42,111.9
2011-09-23,111.71,112.44,103.43,104.36
2011-09-30,103.61,107.54,101.66,102.15
2011-10-07,102.0,106.64,99.11,105.91
2011-10-14,106.01,114.8,105.65,114.69
2011-10-21,112.46,113.86,107.31,109.79
2011-10-28,109.32,112.79,108.76,110.16
2011-11-04,110.13,112.48,106.1,112.48
2011-11-11,112.41,116.48,111.26,114.19
2011-11-18,114.63,114.83,106.97,107.81
2011-11-25,107.46,109.45,105.65,106.64
2011-12-02,106.73,112.03,106.63,110.3
2011-12-09,110.36,111.62,107.11,108.99
2011-12-16,108.75,111.1,102.46,103.65
2011-12-23,103.63,108.55,102.37,108.0
2011-12-30,108.16,109.5,106.5,107.22
2012-01-06,108.35,114.64,108.35,113.4
