Date,DXY_Dollar_Index,Gold_Spot,Brent_Crude_Oil
2011-05-13,75.757,1494.555,113.84
2011-05-20,75.435,1513.55,112.42
2011-05-27,74.954,1536.65,115.0
2011-06-03,73.783,1542.5,116.05
2011-06-10,74.795,1531.9,118.59
2011-06-17,74.988,1539.5,113.2
2011-06-24,75.665,1502.15,105.67
2011-07-01,74.349,1486.5,111.24
2011-07-08,75.179,1543.95,118.3
2011-07-15,75.126,1594.1,117.66
2011-07-22,74.201,1599.25,118.51
2011-07-29,73.897,1626.64,116.85
2011-08-05,74.598,1665.0,109.85
2011-08-12,74.607,1746.6,107.8
2011-08-19,74.009,1852.45,109.22
2011-08-26,73.814,1828.55,111.25
2011-09-02,74.756,1884.2,112.52
2011-09-09,77.192,1857.81,112.53
2011-09-16,76.599,1811.95,111.9
2011-09-23,78.501,1656.585,104.36
2011-09-30,78.553,1623.75,102.15
2011-10-07,78.726,1639.45,105.91
2011-10-14,76.623,1679.95,114.69
2011-10-21,76.395,1641.02,109.79
2011-10-28,75.067,1742.95,110.16
2011-11-04,76.962,1754.15,112.48
2011-11-11,76.945,1788.995,114.19
2011-11-18,78.064,1723.05,107.81
2011-11-25,79.686,1680.13,106.64
2011-12-02,78.625,1745.25,110.3
2011-12-09,78.632,1711.095,108.99
2011-12-16,80.256,1597.945,103.65
2011-12-23,79.93,1606.6,108.0
2011-12-30,80.178,1564.3,107.22
2012-01-06,81.254,1616.845,113.4
2012-01-13,81.515,1639.35,111.04
2012-01-20,80.223,1666.9,110.23
2012-01-27,78.902,1738.895,111.32
2012-02-03,78.924,1725.3,114.71
2012-02-10,79.114,1719.845,117.61
2012-02-17,79.331,1722.445,119.95
2012-02-24,78.352,1773.495,125.07
2012-03-02,79.403,1712.295,123.32
2012-03-09,80.041,1713.095,125.71
2012-03-16,79.786,1660.65,126.16
2012-03-23,79.345,1662.265,125.21
2012-03-30,79.004,1668.9,122.8
2012-04-06,79.886,1639.495,123.29
2012-04-13,79.888,1659.0,121.81
2012-04-20,79.194,1642.7,118.85
2012-04-27,78.709,1662.05,119.75
2012-05-04,79.498,1642.83,113.2
2012-05-11,80.264,1580.05,112.03
2012-05-18,81.292,1593.085,107.31
2012-05-25,82.402,1573.45,106.9
2012-06-01,82.89,1626.25,98.82
2012-06-08,82.511,1594.45,99.76
2012-06-15,81.628,1626.76,97.31
2012-06-22,82.256,1572.15,91.33
2012-06-29,81.627,1598.6,97.57
2012-07-06,83.377,1582.9,98.15
2012-07-13,83.349,1589.05,102.85
2012-07-20,83.478,1583.63,106.74
2012-07-27,82.709,1624.05,106.65
2012-08-03,82.375,1603.2,108.71
2012-08-10,82.553,1620.35,113.54
2012-08-17,82.596,1616.2,113.76
