,Manufacturing_Employment
2014-11-28,12260.0
2014-12-05,12266.0
2014-12-12,12266.0
2014-12-19,12266.0
2014-12-26,12266.0
2015-01-02,12265.0
2015-01-09,12265.0
2015-01-16,12265.0
2015-01-23,12265.0
2015-01-30,12265.0
2015-02-06,12275.0
2015-02-13,12275.0
2015-02-20,12275.0
2015-02-27,12275.0
2015-03-06,12286.0
2015-03-13,12286.0
2015-03-20,12286.0
2015-03-27,12286.0
2015-04-03,12291.0
2015-04-10,12291.0
2015-04-17,12291.0
2015-04-24,12291.0
2015-05-01,12306.0
2015-05-08,12306.0
2015-05-15,12306.0
2015-05-22,12306.0
2015-05-29,12306.0
2015-06-05,12307.0
2015-06-12,12307.0
2015-06-19,12307.0
2015-06-26,12307.0
2015-07-03,12323.0
2015-07-10,12323.0
2015-07-17,12323.0
2015-07-24,12323.0
2015-07-31,12323.0
2015-08-07,12318.0
2015-08-14,12318.0
2015-08-21,12318.0
2015-08-28,12318.0
2015-09-04,12326.0
2015-09-11,12326.0
2015-09-18,12326.0
2015-09-25,12326.0
2015-10-02,12334.0
2015-10-09,12334.0
2015-10-16,12334.0
2015-10-23,12334.0
2015-10-30,12334.0
2015-11-06,12329.0
2015-11-13,12329.0
2015-11-20,12329.0
2015-11-27,12329.0
2015-12-04,12333.0
2015-12-11,12333.0
2015-12-18,12333.0
2015-12-25,12333.0
2016-01-01,12354.0
2016-01-08,12354.0
2016-01-15,12354.0
2016-01-22,12354.0
2016-01-29,12354.0
2016-02-05,12337.0
2016-02-12,12337.0
2016-02-19,12337.0
2016-02-26,12337.0
2016-03-04,12313.0
2016-03-11,12313.0
2016-03-18,12313.0
2016-03-25,12313.0
2016-04-01,12325.0
2016-04-08,12325.0
2016-04-15,12325.0
2016-04-22,12325.0
2016-04-29,12325.0
2016-05-06,12303.0
2016-05-13,12303.0
2016-05-20,12303.0
2016-05-27,12303.0
2016-06-03,12321.0
2016-06-10,12321.0
2016-06-17,12321.0
2016-06-24,12321.0
2016-07-01,12342.0
2016-07-08,12342.0
2016-07-15,12342.0
2016-07-22,12342.0
2016-07-29,12342.0
2016-08-05,12319.0
2016-08-12,12319.0
2016-08-19,12319.0
2016-08-26,12319.0
2016-09-02,12317.0
2016-09-09,12317.0
2016-09-16,12317.0
2016-09-23,12317.0
2016-09-30,12317.0
2016-10-07,12316.0
2016-10-14,12316.0
2016-10-21,12316.0
2016-10-28,12316.0
2016-11-04,12311.0
2016-11-11,12311.0
2016-11-18,12311.0
2016-11-25,12311.0
2016-12-02,12324.0
2016-12-09,12324.0
2016-12-16,12324.0
2016-12-23,12324.0
2016-12-30,12324.0
2017-01-06,12334.0
2017-01-13,12334.0
2017-01-20,12334.0
2017-01-27,12334.0
2017-02-03,12350.0
2017-02-10,12350.0
2017-02-17,12350.0
2017-02-24,12350.0
2017-03-03,12361.0
2017-03-10,12361.0
2017-03-17,12361.0
2017-03-24,12361.0
2017-03-31,12361.0
2017-04-07,12367.0
2017-04-14,12367.0
2017-04-21,12367.0
2017-04-28,12367.0
