Date,OPEN,HIGH,LOW,CLOSE
2008-02-15,2.699,2.807,2.622,2.75325
2008-02-22,2.756,3.027,2.743,2.83115
2008-02-29,2.8457,3.012,2.472,2.46975
2008-03-07,2.4922,2.629,2.345,2.43785
2008-03-14,2.4428,2.672,2.262,2.40245
2008-03-21,2.392,2.501,2.166,2.3803
2008-03-28,2.384,2.67,2.355,2.4925
2008-04-04,2.515,2.78,2.431,2.6186
2008-04-11,2.618,2.805,2.544,2.5716
2008-04-18,2.594,3.078,2.51,2.8917
2008-04-25,2.905,3.2546,2.884,3.1735
2008-05-02,3.185,3.229,2.967,3.16415
2008-05-09,3.188,3.2,2.912,2.96815
2008-05-16,2.967,3.274,2.926,3.1119
2008-05-23,3.113,3.277,3.0,3.1428
2008-05-30,3.147,3.513,3.144,3.42535
2008-06-06,3.42,3.43,3.144,3.1894
2008-06-13,3.184,3.765,3.155,3.71905
2008-06-20,3.701,3.765,3.524,3.5884
2008-06-27,3.595,3.665,3.331,3.3374
2008-07-04,3.411,3.413,3.238,3.2841
2008-07-11,3.269,3.315,3.052,3.28715
2008-07-18,3.287,3.442,3.004,3.4162
2008-07-25,3.43,3.5731,3.313,3.44525
2008-08-01,3.445,3.454,3.197,3.2178
2008-08-08,3.221,3.38,3.141,3.201
2008-08-15,3.204,3.32,3.056,3.1005
2008-08-22,3.107,3.232,2.981,3.13875
2008-08-29,3.142,3.152,3.014,3.09015
2008-09-05,3.096,3.159,2.761,2.97445
2008-09-12,3.192,3.226,2.813,2.9475
2008-09-19,2.954,3.097,2.351,3.0381
2008-09-26,3.03,3.144,2.856,3.05205
2008-10-03,2.961,3.066,2.614,2.62435
2008-10-10,2.527,2.878,2.334,2.7569
2008-10-17,3.026,3.082,2.746,2.8325
2008-10-24,2.859,2.879,2.403,2.5726
2008-10-31,2.556,2.853,2.526,2.80735
2008-11-07,2.806,2.84,2.423,2.5597
2008-11-14,2.563,2.645,2.28,2.32505
2008-11-21,2.317,2.356,1.872,2.0538
2008-11-28,2.039,2.237,1.909,1.91435
2008-12-05,1.919,1.98,1.487,1.69515
2008-12-12,1.702,1.858,1.407,1.51245
2008-12-19,1.526,1.613,1.19,1.3552
2008-12-26,1.36,1.585,1.327,1.513
2009-01-02,1.516,1.735,1.251,1.65405
2009-01-09,1.666,1.805,1.462,1.509
2009-01-16,1.528,1.567,1.316,1.4802
2009-01-23,1.454,1.711,1.449,1.62995
2009-01-30,1.637,1.915,1.55,1.8792
2009-02-06,1.883,1.972,1.732,1.96105
2009-02-13,1.965,2.024,1.689,1.876
2009-02-20,1.881,1.918,1.646,1.8314
2009-02-27,1.841,2.12,1.78,1.98645
2009-03-06,1.992,2.002,1.75,1.87995
2009-03-13,1.888,2.049,1.839,1.86665
2009-03-20,1.873,1.997,1.5,1.64175
2009-03-27,1.645,1.884,1.645,1.79925
2009-04-03,1.804,1.899,1.641,1.85495
2009-04-10,1.861,1.926,1.804,1.88405
2009-04-17,1.892,1.913,1.691,1.8937
2009-04-24,1.9,1.957,1.752,1.9445
2009-05-01,1.944,2.08,1.805,2.01225
2009-05-08,2.016,2.222,1.992,2.13805
2009-05-15,2.13,2.182,1.936,1.9998
2009-05-22,1.983,2.218,1.965,2.20355
2009-05-29,2.21,2.54,2.157,2.34075
2009-06-05,2.367,2.857,2.357,2.83345
2009-06-12,2.867,2.993,2.759,2.78205
2009-06-19,2.783,2.88,2.605,2.78915
2009-06-26,2.806,2.821,2.521,2.55135
2009-07-03,2.556,2.612,2.404,2.42575
2009-07-10,2.411,2.441,2.184,2.21395
2009-07-17,2.226,2.532,2.168,2.50405
2009-07-24,2.512,2.586,2.295,2.5281
2009-07-31,2.538,2.746,2.501,2.5144
2009-08-07,2.545,2.871,2.545,2.8215
2009-08-14,2.84,2.862,2.436,2.50425
2009-08-21,2.497,2.57,2.354,2.56295
2009-08-28,2.552,2.594,2.428,2.44845
2009-09-04,2.457,2.482,2.25,2.35655
2009-09-11,2.348,2.429,2.229,2.2987
2009-09-18,2.303,2.476,2.271,2.45335
2009-09-25,2.459,2.492,2.348,2.3642
2009-10-02,2.355,2.398,2.121,2.20615
2009-10-09,2.199,2.363,2.155,2.34975
2009-10-16,2.316,2.419,2.246,2.35215
2009-10-23,2.37,2.454,2.262,2.4476
2009-10-30,2.443,2.514,2.308,2.30755
2009-11-06,2.322,2.422,2.266,2.29805
2009-11-13,2.313,2.328,2.243,2.25345
2009-11-20,2.261,2.274,2.105,2.17935
2009-11-27,2.185,2.219,1.949,2.03335
2009-12-04,2.057,2.292,1.991,2.24665
2009-12-11,2.28,2.287,2.085,2.2529
2009-12-18,2.244,2.367,2.209,2.27695
2009-12-25,2.268,2.543,2.264,2.53575
2010-01-01,2.536,2.76,2.536,2.68135
2010-01-08,2.713,2.746,2.529,2.5895
